    k          tempo    temporal_gx  convectivo_gx    difusivo_gx     resíduo_x
            0.000000       0.000000            NaN      -4.851495            NaN
    1       0.000000      -2.065770     -12.674112      -2.044461     -12.695421
    2       0.025126      -1.288057      -4.293136      -1.282073      -4.299119
    3       0.050251      -0.976108      -2.043656      -0.973131      -2.046633
    4       0.075377      -0.809223      -1.246315      -0.807283      -1.248256
    5       0.100503      -0.703487      -0.881861      -0.702046      -0.883302
    6       0.125628      -0.629627      -0.680781      -0.628476      -0.681931
    7       0.150754      -0.575038      -0.554777      -0.574075      -0.555740
    8       0.175879      -0.533517      -0.468729      -0.532682      -0.469564
    9       0.201005      -0.501849      -0.406347      -0.501103      -0.407092
   10       0.226131      -0.478516      -0.359178      -0.477829      -0.359865
   11       0.251256      -0.463225      -0.322534      -0.462569      -0.323190
   12       0.276382      -0.456810      -0.293856      -0.456152      -0.294515
   13       0.301508      -0.461313      -0.272191      -0.460607      -0.272896
   14       0.326633      -0.480110      -0.258432      -0.479284      -0.259258
   15       0.351759      -0.517899      -0.256469      -0.516817      -0.257552
   16       0.376884      -0.580282      -0.275717      -0.578683      -0.277317
   17       0.402010      -0.672638      -0.335732      -0.670022      -0.338349
   18       0.427136      -0.798052      -0.473525      -0.793522      -0.478055
   19       0.452261      -0.954508      -0.752879      -0.946633      -0.760754
   20       0.477387      -1.132441      -1.270895      -1.119307      -1.284030
   21       0.502513      -1.314546      -2.148588      -1.294194      -2.168940
   22       0.527638      -1.479445      -3.483844      -1.450681      -3.512608
   23       0.552764      -1.608534      -5.257056      -1.571675      -5.293915
   24       0.577889      -1.692435      -7.239976      -1.649399      -7.283012
   25       0.603015      -1.732895      -9.026955      -1.686484      -9.073367
   26       0.628141      -1.739246     -10.237600      -1.692138     -10.284708
   27       0.653266      -1.722727     -10.727383      -1.676846     -10.773264
   28       0.678392      -1.692562     -10.605682      -1.648997     -10.649247
   29       0.703518      -1.654880     -10.093566      -1.614107     -10.134338
   30       0.728643      -1.613301      -9.390605      -1.575438      -9.428467
   31       0.753769      -1.569863      -8.627200      -1.534846      -8.662217
   32       0.778894      -1.525721      -7.873508      -1.493402      -7.905828
   33       0.804020      -1.481554      -7.162131      -1.451750      -7.191935
   34       0.829146      -1.437783      -6.505736      -1.410304      -6.533215
   35       0.854271      -1.394681      -5.907256      -1.369341      -5.932596
   36       0.879397      -1.352433      -5.365105      -1.329054      -5.388484
   37       0.904523      -1.311166      -4.875724      -1.289583      -4.897307
   38       0.929648      -1.270970      -4.434811      -1.251030      -4.454751
   39       0.954774      -1.231903      -4.037917      -1.213467      -4.056353
   40       0.979899      -1.194006      -3.680735      -1.176946      -3.697795
   41       1.005025      -1.157301      -3.359234      -1.141499      -3.375035
   42       1.030151      -1.121797      -3.069710      -1.107148      -3.084359
   43       1.055276      -1.087493      -2.808805      -1.073901      -2.822397
   44       1.080402      -1.054381      -2.573489      -1.041758      -2.586113
   45       1.105528      -1.022444      -2.361048      -1.010709      -2.372783
   46       1.130653      -0.991660      -2.169057      -0.980741      -2.179977
   47       1.155779      -0.962005      -1.995353      -0.951835      -2.005523
   48       1.180905      -0.933447      -1.838010      -0.923967      -1.847490
   49       1.206030      -0.905958      -1.695314      -0.897112      -1.704160
   50       1.231156      -0.879502      -1.565743      -0.871241      -1.574004
   51       1.256281      -0.854046      -1.447943      -0.846324      -1.455665
   52       1.281407      -0.829555      -1.340708      -0.822331      -1.347932
   53       1.306533      -0.805994      -1.242967      -0.799229      -1.249732
   54       1.331658      -0.783327      -1.153767      -0.776987      -1.160107
   55       1.356784      -0.761519      -1.072259      -0.755572      -1.078206
   56       1.381910      -0.740537      -0.997685      -0.734954      -1.003268
   57       1.407035      -0.720347      -0.929371      -0.715101      -0.934616
   58       1.432161      -0.700915      -0.866713      -0.695983      -0.871645
   59       1.457286      -0.682211      -0.809174      -0.677569      -0.813815
   60       1.482412      -0.664202      -0.756271      -0.659831      -0.760642
   61       1.507538      -0.646861      -0.707573      -0.642741      -0.711693
   62       1.532663      -0.630157      -0.662693      -0.626271      -0.666579
   63       1.557789      -0.614064      -0.621284      -0.610396      -0.624952
   64       1.582915      -0.598555      -0.583035      -0.595090      -0.586500
   65       1.608040      -0.583604      -0.547665      -0.580329      -0.550940
   66       1.633166      -0.569188      -0.514921      -0.566090      -0.518019
   67       1.658291      -0.555284      -0.484576      -0.552351      -0.487508
   68       1.683417      -0.541868      -0.456424      -0.539090      -0.459202
   69       1.708543      -0.528920      -0.430281      -0.526288      -0.432913
   70       1.733668      -0.516420      -0.405978      -0.513924      -0.408474
   71       1.758794      -0.504349      -0.383363      -0.501979      -0.385732
   72       1.783920      -0.492687      -0.362298      -0.490438      -0.364548
   73       1.809045      -0.481419      -0.342659      -0.479281      -0.344797
   74       1.834171      -0.470526      -0.324332      -0.468494      -0.326364
   75       1.859296      -0.459994      -0.307213      -0.458061      -0.309146
   76       1.884422      -0.449806      -0.291210      -0.447966      -0.293049
   77       1.909548      -0.439949      -0.276235      -0.438197      -0.277987
   78       1.934673      -0.430409      -0.262211      -0.428740      -0.263880
   79       1.959799      -0.421173      -0.249066      -0.419582      -0.250657
   80       1.984925      -0.412228      -0.236735      -0.410711      -0.238253
   81       2.010050      -0.403563      -0.225159      -0.402115      -0.226607
   82       2.035176      -0.395166      -0.214283      -0.393784      -0.215665
   83       2.060302      -0.387027      -0.204056      -0.385706      -0.205376
   84       2.085427      -0.379134      -0.194432      -0.377872      -0.195694
   85       2.110553      -0.371479      -0.185370      -0.370273      -0.186577
   86       2.135678      -0.364053      -0.176830      -0.362899      -0.177984
   87       2.160804      -0.356845      -0.168777      -0.355741      -0.169881
   88       2.185930      -0.349848      -0.161177      -0.348791      -0.162234
   89       2.211055      -0.343054      -0.154000      -0.342042      -0.155013
   90       2.236181      -0.336455      -0.147218      -0.335485      -0.148189
   91       2.261307      -0.330043      -0.140806      -0.329114      -0.141736
   92       2.286432      -0.323812      -0.134738      -0.322921      -0.135630
   93       2.311558      -0.317755      -0.128994      -0.316900      -0.129850
   94       2.336683      -0.311866      -0.123552      -0.311045      -0.124373
   95       2.361809      -0.306137      -0.118394      -0.305349      -0.119182
   96       2.386935      -0.300564      -0.113502      -0.299808      -0.114259
   97       2.412060      -0.295141      -0.108859      -0.294414      -0.109586
   98       2.437186      -0.289863      -0.104451      -0.289164      -0.105149
   99       2.462312      -0.284724      -0.100262      -0.284052      -0.100934
  100       2.487437      -0.279719      -0.096281      -0.279073      -0.096927
  101       2.512563      -0.274845      -0.092495      -0.274223      -0.093116
  102       2.537688      -0.270095      -0.088892      -0.269497      -0.089490
  103       2.562814      -0.265467      -0.085462      -0.264891      -0.086037
  104       2.587940      -0.260955      -0.082194      -0.260401      -0.082749
  105       2.613065      -0.256557      -0.079081      -0.256023      -0.079615
  106       2.638191      -0.252267      -0.076112      -0.251753      -0.076627
  107       2.663317      -0.248084      -0.073281      -0.247588      -0.073777
  108       2.688442      -0.244002      -0.070579      -0.243524      -0.071057
  109       2.713568      -0.240019      -0.067999      -0.239558      -0.068460
  110       2.738693      -0.236132      -0.065534      -0.235687      -0.065979
  111       2.763819      -0.232337      -0.063180      -0.231908      -0.063609
  112       2.788945      -0.228632      -0.060929      -0.228217      -0.061343
  113       2.814070      -0.225013      -0.058776      -0.224613      -0.059176
  114       2.839196      -0.221478      -0.056716      -0.221092      -0.057102
  115       2.864322      -0.218025      -0.054745      -0.217652      -0.055117
  116       2.889447      -0.214650      -0.052857      -0.214290      -0.053217
  117       2.914573      -0.211352      -0.051049      -0.211004      -0.051397
  118       2.939698      -0.208128      -0.049316      -0.207792      -0.049652
  119       2.964824      -0.204976      -0.047655      -0.204651      -0.047980
  120       2.989950      -0.201894      -0.046062      -0.201579      -0.046377
