     # Tempo                      POP_NUMERICA                      PARC_REATIVA                      PAR_TEMPORAL                      P_DIFUSIVA_X                      P_DIFUSIVA_Y                      _____RESIDUO                      OCUPACAO_NUM                      ERRO_ESTACIO
      0.0050                        0.6808E+06                        0.9385E+00                        0.5867E+06                       -0.2526E+06                       -0.2743E+06                        0.1114E+07                       55.40771484                        0.00000000
      0.0100                        0.6808E+06                        0.9899E+00                       -0.1427E+06                       -0.9816E+05                       -0.4453E+05                        0.2675E+02                       55.40771484                        0.00001163
      0.0150                        0.6808E+06                        0.1064E+01                       -0.1099E+06                       -0.7512E+05                       -0.3469E+05                        0.4462E+02                       55.40771484                        0.00001976
      0.0200                        0.6808E+06                        0.1160E+01                       -0.9566E+05                       -0.6397E+05                       -0.3168E+05                        0.1609E+02                       55.40771484                        0.00002880
      0.0250                        0.6808E+06                        0.1278E+01                       -0.1006E+06                       -0.6267E+05                       -0.3798E+05                        0.5614E+02                       55.40771484                        0.00003793
      0.0300                        0.6808E+06                        0.1418E+01                       -0.1123E+06                       -0.5589E+05                       -0.5636E+05                        0.5863E+01                       55.40771484                        0.00004706
      0.0350                        0.6808E+06                        0.1581E+01                       -0.9403E+05                       -0.5548E+05                       -0.3858E+05                        0.2447E+02                       55.40771484                        0.00005615
      0.0400                        0.6808E+06                        0.1766E+01                       -0.8081E+05                       -0.5272E+05                       -0.2820E+05                        0.1017E+03                       55.42602539                        0.00006518
      0.0450                        0.6808E+06                        0.1972E+01                       -0.9787E+05                       -0.7346E+05                       -0.2446E+05                        0.4019E+02                       55.42602539                        0.00007416
      0.0500                        0.6808E+06                        0.2200E+01                       -0.1643E+06                       -0.1422E+06                       -0.2214E+05                        0.1884E+02                       55.42602539                        0.00008308
      0.0550                        0.6808E+06                        0.2450E+01                       -0.8386E+05                       -0.6349E+05                       -0.2037E+05                        0.6990E+01                       56.06689453                        0.00009194
      0.0600                        0.6807E+06                        0.2721E+01                       -0.7039E+05                       -0.5141E+05                       -0.1898E+05                        0.1136E+02                       56.06689453                        0.00010073
      0.0650                        0.6807E+06                        0.3013E+01                       -0.6347E+05                       -0.4563E+05                       -0.1783E+05                        0.2269E+02                       56.06689453                        0.00010945
      0.0700                        0.6807E+06                        0.3325E+01                       -0.5874E+05                       -0.4187E+05                       -0.1687E+05                        0.1481E+01                       56.20117188                        0.00011811
      0.0750                        0.6807E+06                        0.3659E+01                       -0.5520E+05                       -0.3910E+05                       -0.1610E+05                        0.1427E+02                       56.20117188                        0.00012670
      0.0800                        0.6807E+06                        0.4013E+01                       -0.5238E+05                       -0.3692E+05                       -0.1553E+05                        0.5805E+02                       56.20117188                        0.00013521
      0.0850                        0.6807E+06                        0.4387E+01                       -0.5058E+05                       -0.3528E+05                       -0.1535E+05                        0.4543E+02                       56.20117188                        0.00014366
      0.0900                        0.6806E+06                        0.4781E+01                       -0.5607E+05                       -0.3662E+05                       -0.1948E+05                        0.3068E+02                       56.20117188                        0.00015202
